hellowello	`hɛ.ləʊ.'ɛ.ləʊ
9	'naɪn
103rd	'wɑn.'hʌn.dɹʌ.dʌn.'θəːd
theyre	'θeɪ.ʌ
thereno	ðəː.'nəʊ
allsomething	ɔːl.'sʌm.θɪŋ
europes	'jʊə.ɹʌps
aboutchallenging	ʌ.'baʊ.tʃʌ.`lɛn.dʒɪŋ
81	'eɪ.tɪ.'wɑn
containsall	kʌn.'teɪn.sɔːl
containmore	kʌn.'teɪn.mɔː
employersand	ɛm.'plɔɪ.ʌ.`sænd
500	'faɪv.'hʌn.dɹʌd
35	'θəː.tɪ.'faɪv
weve	'wiv
oncomprehensive	`ɑn.kʌm.pɹɪ.'hɛn.sɪv
campolo	kæm.'pɑ.ləʊ
leaveall	'li.vil
systemthe	'sɪ.stʌmð
300	'θɹi.'hʌn.dɹʌd
1980s	'naɪn.tin.'hʌn.dɹʌ.dʌ.'neɪ.tɪz
environmentallysustainable	ɛn.`vaɪ.ɹʌn.'mɛn.tʌ.`lɪ.sʌ.`steɪ.nʌ.bʌl
billto	'bɪl.təʊ
ive	'aɪv
didnt	'dɪdəːnt
lowincome	'ləʊ.ɪn.`kʌm
theyll	'θeɪl
youre	'jɔː
100	'wɑn.'hʌn.dɹʌd
havent	'heɪ.vʌnt
selfsustaining	'sɛlf.sʌ.`steɪ.nɪŋ
08	'zeɪ.ʌ.ɹəʊ.'eɪt
scheldt	'ʃɛlt
49	'fɔː.tɪ.'naɪn
thronging	'θɹɑŋ.ɪŋ
punctually	'pʌŋk.tʃʉː.ʌ.lɪ
arbitrament	'ɑ.bɪ.tɹʌ.mʌnt
7500	'sɛ.vʌn.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌd
3841549	'θɹi.'mɪ.leɪ.ʌ.'neɪt.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'wɑn.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'naɪn
legation	lɛ.'ɡeɪ.ʃʌn
1456514	'wɑn.'mɪ.leɪ.ʌn.'fɔː.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'sɪks.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'fɔː.tin
75	'sɛ.vʌn.tɪ.'faɪv
1864	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'fɔː
postoffice	'pəʊ.'stɑ.fɪs
disenthralled	`dɪ.sɛn.'θɹɔːld
59	'fɪf.tɪ.'naɪn
detaching	dɪ.'tæ.tʃɪŋ
suppressed	sʌ.'pɹɛst
161911	'wɑn.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'wɑn.'θaʊ.zʌnd.'naɪn.'hʌn.dɹʌ.dʌ.nɪ.'lɛ.vʌn
pointa	'pɔɪn.tʌ
40	'fɔː.tɪ
37640787	'θəː.tɪ.'sɛ.vʌn.'mɪ.leɪ.ʌn.'sɪks.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'θaʊ.zʌnd.'sɛ.vʌn.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'sɛ.vʌn
devolving	dɪ.'vɑl.vɪŋ
consuls	'kɑn.sʌlz
emoluments	ɪ.'mɑl.jʉː.mʌnts
surgeongeneral	'səː.dʒʌn.'dʒɛ.nʌ.ɹʌl
1st	'fəːst
favorers	'feɪ.vɔː.ɹʌz
1000	'wɑn.'θaʊ.zʌnd
profoundest	pɹʌ.'faʊn.dʌst
unsoundness	ʌn.'saʊnd.nʌs
interposition	`ɪn.tʌ.pʌ.'zɪ.ʃʌn
1860	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɪk.stɪ
1863	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'θɹi
17th	'sɛ.vʌn.`tinθ
720039039	'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'mɪ.leɪ.ʌn.'θəː.tɪ.'naɪn.'θaʊ.zʌn.dʌn.'θəː.tɪ.'naɪn
onehalf	'wɑn.hɑf
majestys	'mæ.dʒʌ.stɪz
4216520	'fɔː.'mɪ.leɪ.ʌn.'tʉː.'hʌn.dɹʌ.dʌn.'sɪk.stin.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'twɛn.tɪ
illiberal	ɪ.'lɪ.bʌ.ɹʌl
homesteads	'həʊm.stɛdz
preponderating	pɹɪ.'pɑn.dʌ.ɹʌ.tɪŋ
adjudications	ʌ.`dʒʉː.dɪ.'keɪ.ʃʌnz
committals	kʌ.'mɪ.tʌlz
inconsiderable	ɪn.kʌn.'sɪ.dʌ.ɹʌ.bʌl
criticised	'kɹɪ.tɪ.`saɪzd
11th	ɪ.'lɛ.vʌnθ
84	'eɪ.tɪ.'fɔː
quartermastergeneral	'kwɔː.tʌ.`mæ.stʌ.'dʒɛ.nʌ.ɹʌl
commissarygeneral	kʌ.'mɪ.sʌ.ɹɪ.'dʒɛ.nʌ.ɹʌl
paymastergeneral	'peɪ.mæ.stʌ.'dʒɛ.nʌ.ɹʌl
peoplei	'pi.pʌ.'laɪ
developmentin	dɪ.'vɛ.lʌp.`mɛn.tɪn
togetherthe	'təʊdʒ.ðʌð
1930s	'naɪn.tin.'hʌn.dɹʌ.dʌn.'θəː.tɪz
blights	'blaɪts
longthat	'lɑŋ.θæt
programsall	'pɹəʊ.ɡɹʌm.`sɔːl
1973	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'θɹi
choiceschoices	'tʃɔɪs.skɔɪ.sɪz
labormanagement	'læ.bɔː.`mæ.nɪdʒ.mʌnt
dishonoring	dɪ.'sɑ.nʌ.ɹɪŋ
crossroadsa	'kɹɑs.ɹəʊd.sʌ
allembracing	ʌ.'lɛm.bɹeɪ.sɪŋ
1970s	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.`tɪz
notiona	'nəʊ.ʃʌ.nʌ
respectedis	ɹɪ.spɪk.'ti.dɪz
considerationand	kʌn.`sɪ.dʌ.'ɹeɪ.ʃʌ.`nænd
followthrough	'fɑ.ləʊ.`θɹʉː
peacefor	'pi.sfʌ
93rd	'naɪn.tɪ.'θəːd
americaan	ʌ.'mɛ.ɹɪ.`kɑn
cureall	'kjʊə.ɹil
togetheris	'təʊdʒ.θʌ.`ɹɪs
2	'tʉː
joball	'dʒəʊ.bɔːl
communityand	kʌ.'mjʉː.nɪ.tɪ.`ænd
ablebodied	'eɪ.bʌl.`bɑ.dɪd
antisemitism	'æn.tɪ.'sɛ.mɪ.`tɪ.zʌm
dont	'dəʊnt
246	'tʉː.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'sɪks
yoursis	'jɔː.sɪs
12	'twɛlv
thats	'ðæts
multiplewarhead	`mʌl.tɪ.'plʉː.ɔː.`hɛd
500	'faɪv.'hʌn.dɹʌd
crimefrom	'kɹaɪm.fɹɑm
76	'sɛ.vʌn.tɪ.'sɪks
lowincome	'ləʊ.ɪn.`kʌm
didnt	'dɪdəːnt
wouldnt	'wʊədəːnt
progrowth	'pɹɑ.ɡɹəʊθ
havethe	'hæ.vɛð
lineitem	'laɪ.naɪ.tʌm
vetoand	'vɛ.təʊnd
theres	'ðʌz
90day	'naɪn.tɪ.'deɪ
800	'eɪt.'hʌn.dɹʌd
unfinanced	ʌn.faɪ.'nænst
demagogued	'dɛ.mʌ.`ɡɑɡd
30	'θəː.tɪ
15	'fɪf.tin
drawnout	'dɹɔː.naʊt
toptobottom	'tɑp.tʌ.`bɑ.tʌm
50	'fɪf.tɪ
weve	'wiv
35	'θəː.tɪ.'faɪv
2000	'tʉː.'θaʊ.zʌnd
dailyness	'deɪ.lɪ.nʌs
insensible	ɪn.'sɛn.sʌ.bʌl
landbased	'lænd.beɪst
5000	'faɪv.'θaʊ.zʌnd
4	'fɔː
futureand	'fjʉː.tʃʌ.`ɹind
isnt	'ɪsəːnt
forsurely	fɔː.'səː.lɪ
6	'sɪks
annetter	'æ.nɪ.tʌ
150	'wɑn.'hʌn.dɹʌ.dʌn.'fɪf.tɪ
healthinsurance	'hɛl.θɪn.`ʃʊə.ɹʌns
whos	'hʉːz
bethe	'bɛð
firsttime	'fəːst.taɪm
agriculturists	'æ.ɡɹɪ.`kʌl.tʃʌ.`ɹɪsts
postmastergeneral	'pəʊst.mæ.stʌ.'dʒɛ.nʌ.ɹʌl
13th	'θəː.tinθ
1801	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'wɑn
supervisionthose	sʉː.pʌ.'vɪ.ʒʌn.`θəʊz
manufactory	`mæn.jʉː.'fæk.tʌ.`ɹɪ
injuriously	ɪn.'dʒʊə.ɹɪ.ʌ.slɪ
specie	'spɛ.sɪ
cession	'sɛ.ʃʌn
irredeemable	ɪ.ɹɪ.'di.mʌ.bʌl
effectual	ɪ.'fɛk.tʃʉː.ʌl
commonlaw	'kɑ.mʌn.`lɔː
13554135	'θəː.tin.'mɪ.leɪ.ʌn.'faɪv.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'fɔː.'θaʊ.zʌn.'dwɑn.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'faɪv
12553	'twɛlv.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'θɹi
reciprocally	ɹɪ.'sɪ.pɹʌ.kʌ.lɪ
superintendence	`sʉː.pʌ.ɹɪn.'tɛn.dʌns
sprungconstant	'spɹʌŋ.kɑn.stʌnt
5600000	'faɪv.'mɪ.leɪ.ʌn.'sɪks.'hʌn.dɹʌd.'θaʊ.zʌnd
sicilies	'sɪ.sɪ.`lɪz
inconsiderable	ɪn.kʌn.'sɪ.dʌ.ɹʌ.bʌl
sacredly	'sæ.kɹɪd.lɪ
25th	'twɛn.tɪ.'fɪfθ
ratifications	`ɹæ.tɪ.fɪ.'keɪ.ʃʌnz
tranquillity	tɹæn.'kwɪ.lɪ.tɪ
19th	'naɪn.tinθ
postmastergenerals	'pəʊst.mæ.stʌ.'dʒɛ.nʌ.ɹʌlz
intrusted	ɪn.'tɹʌ.stɪd
exultation	ɛɡ.zʌl.'teɪ.ʃʌn
pastall	'pæ.stɔːl
eligibly	'ɛ.lɪ.dʒʌ.blɪ
18458000	'eɪ.tin.'mɪ.leɪ.ʌn.'fɔː.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'eɪt.'θaʊ.zʌnd
1829	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'naɪn
chippewas	'tʃɪ.pjʉː.ʌz
72560056	'sɛ.vʌn.tɪ.'tʉː.'mɪ.leɪ.ʌn.'faɪv.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'θaʊ.zʌn.dʌn.'fɪf.tɪ.'sɪks
pursuance	pʌs.'jʉː.ʌns
1814	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'fɔː.tin
extrajudicial	`ɛk.stɹʌ.dʒʉː.'dɪ.ʃʌl
worldbeen	'wəːld.bin
40000000	'fɔː.tɪ.'mɪ.leɪ.ʌn
longestablished	'lɑŋ.ɡɪ.`stæ.blɪʃt
1824	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'fɔː
pottawatamies	'pɑ.tʌ.`wæ.tæ.mɪz
ottawas	'ɑ.tʌ.wʌz
firstmentioned	fəːst.'mɛn.ʃʌnd
spirituous	spɪ.'ɹɪ.tʃʉː.ʌs
27th	'twɛn.tɪ.'sɛ.vʌnθ
antirepublican	`æn.tɪ.ɹɪ.'pʌ.blɪ.kʌn
wealththese	'wɛlθ.θiz
husbandman	'hʌs.bʌnd.mʌn
34580202	'θəː.tɪ.'fɔː.'mɪ.leɪ.ʌn.'faɪv.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'θaʊ.zʌnd.'tʉː.'hʌn.dɹʌ.dʌn.'tʉː
promptitude	'pɹɑmp.tɪt.`jʉːd
unfrequently	ʌn.'fɹi.kwʌnt.lɪ
relators	ɹɪ.'leɪ.tʌz
mortification	`mɔː.tɪ.fɪ.'keɪ.ʃʌn
1837	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'sɛ.vʌn
gulfs	'ɡʌlfs
modernly	'mɑ.dʌn.lɪ
50	'fɪf.tɪ
presentday	pɹɪ.'zɛnt.deɪ
desirables	dɪ.'zaɪ.ʌ.ɹʌ.bʌlz
recrudescence	ɹɪ.kɹʉː.'dɛ.sʌns
insufficiency	ɪn.sʌ.'fɪ.ʃʌn.sɪ
mindfulness	'maɪnd.fʌl.nʌs
1920	'naɪn.tin.'hʌn.dɹʌ.dʌn.'twɛn.tɪ
countrys	'kʌn.tɹɪz
transportationusing	tɹæn.spɔː.'teɪ.ʃʌn.`jʉː.sɪŋ
habiliments	'hæ.bɪ.`lɪ.mʌnts
helpfulness	'hɛlp.fʌl.nʌs
supergovernment	'sʉː.pʌ.`ɡʌ.vʌn.mʌnt
5	'faɪv
unsuitableness	ʌn.'sʉː.tʌ.bʌl.nʌs
especial	ɪ.'spɛ.ʃʌl
unselfishness	ʌn.'sɛl.fɪʃ.nʌs
intercarrier	`ɪn.tʌ.'kæ.ɹɪ.ʌ
conferment	kʌn.'fəː.mʌnt
1880	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌ.'neɪ.tɪ
twotenths	'tʉː.tʌnθs
2	'tʉː
passingis	pæ.'sɪŋ.ɡɪz
1921	'naɪn.tin.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'wɑn
ratemaking	'ɹeɪt.meɪ.kɪŋ
definiteness	'dɛ.fɪ.nʌt.nʌs
americanizing	ʌ.'mɛ.ɹɪ.`kæ.naɪ.zɪŋ
betterments	'bɛ.tʌ.mʌnts
selfcontainment	'sɛlf.kʌn.`teɪn.mʌnt
4	'fɔː
60	'sɪk.stɪ
fourpower	'fɔː.paʊ.ʌ
arbitrament	'ɑ.bɪ.tɹʌ.mʌnt
actionbut	'æk.ʃʌn.`bʌt
ii	`ɹəʊ.mʌn.'tʉː
30	'θəː.tɪ
1969	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'naɪn
continuesand	kʌn.'tɪn.jʉː.`ɛ.sænd
congresswas	'kɑŋ.ɡɹɛ.swʌz
1963	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'θɹi
14th	'fɔː.tinθ
15th	'fɪf.tinθ
partyto	pɑ.'tɪ.təʊ
50000	'fɪf.tɪ.'θaʊ.zʌnd
8	'eɪt
1935	'naɪn.tin.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'faɪv
10	'tɛn
times10	'taɪmz.'tɛn
employmentwith	ɛm.'plɔɪ.mʌn.`twɪθ
12	'twɛlv
timesthe	'taɪmsð
representativesi	`ɹɛ.pɹɪ.'zɛn.tʌ.`tɪv.'zaɪ
1968	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'eɪt
1966	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'sɪks
commitmentsthese	kʌ.'mɪt.mʌnts.`θiz
3	'θɹi
aheadwill	'æ.hɪ.`dwɪl
fourpart	'fɔː.pɑt
willwe	'wɪl.wɪ
doesnt	'dʌ.zʌnt
themto	ðɛm.'təʊ
selfemployed	'sɛl.fɪm.`plɔɪd
paymentinkind	'peɪ.mɪn.`tɪŋ.kaɪnd
visiona	'vɪ.ʒʌ.nʌ
communityto	kʌ.`mjʉː.nɪ.'tɪ.təʊ
shortrange	'ʃɔː.tɹeɪndʒ
wrongunjust	'ɹɑŋ.ɡʌn.`dʒʌst
retiredbut	ɹɪ.'taɪ.ʌd.bʌt
1year	'wɑn.'jeɪ.ʌ
togethernot	'təʊdʒ.ðʌ.`nɑt
interviewedare	'ɪn.tʌ.`vjʉː.ɪ.`dəː
deadend	'dɛ.dʌnd
lowdemand	'ləʊ.dɪ.`mænd
1970	'naɪn.tin.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.`tɪ
beltwill	'bɛl.twɪl
lumbermen	'lʌm.bʌ.`mɛn
903	'naɪn.'hʌn.dɹʌ.dʌn.'θɹi
stateadministered	'steɪ.tʌd.`mɪ.nɪ.stʌd
nobler	'nəʊ.blʌ
6month	'sɪk.'smʌnθ
costofliving	'kɑ.stʌ.`flɪ.vɪŋ
themin	'θi.mɪn
dangera	'deɪn.dʒʌ.ɹʌ
mx	`ɛ.'mɛks
strengtheconomic	`stɹɛŋ.θi.kʌ.'nɑ.mɪk
governmentrelated	'ɡʌ.vʌn.mʌn.`tɹɛ.leɪ.tɪd
comesand	kʌ.'mɛ.sænd
builtin	'bɪl.tɪn
fearfear	'feɪ.ʌ.feɪ.ʌ
shadeconcentrate	'ʃeɪd.kʌn.sʌn.`tɹeɪt
peoplethose	'pi.plɪ.`θəʊz
thingthe	'θɪŋð
cybernetics	`saɪ.bʌ.'nɛ.tɪks
allthe	'ɔːlð
doubledigit	'dʌ.bʌl.`dɪ.dʒɪt
4300	'fɔː.'θaʊ.zʌnd.'θɹi.'hʌn.dɹʌd
yearsmen	'jeɪ.ʌz.mɛn
hopethe	'həʊ.pʌð
1982	'naɪn.tin.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'tʉː
10percent	'tɛn.pʌ.'sɛnt
togetherparents	'təʊdʒ.ðʌ.`pəː.ɹʌnts
thisit	'θɪ.sɪt
americansto	ʌ.`mɛ.ɹɪ.'kæn.stəʊ
allout	'æ.laʊt
1983	'naɪn.tin.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'θɹi
intermediaterange	`ɪn.tʌ.'mi.dɪ.`æ.tʌ.`ɹeɪndʒ
55	'fɪf.tɪ.'faɪv
lowerincome	'ləʊ.ʌ.`ɹɪn.kʌm
peopleall	'pi.plil
actionaction	`æk.ʃʌ.'næk.ʃʌn
2002	'tʉː.'θaʊ.zʌn.dʌn.'tʉː
chinas	'tʃaɪ.nʌz
educationat	`ɛ.dʒʉː.'keɪ.ʃʌ.`næt
innercity	'ɪ.nʌ.sɪ.tɪ
stateturn	'stæ.tɪ.`təːn
outcompete	aʊt.kʌm.'pit
goals51	'ɡəʊlz.'fɪf.tɪ.'wɑn
250	'tʉː.'hʌn.dɹʌ.dʌn.'fɪf.tɪ
plana	'plɑ.nʌ
liveand	'laɪ.vænd
105th	'wɑn.'hʌn.dɹʌ.dʌn.'fɪfθ
getsla	'ɡɛt.slʌ
10000	'tɛn.'θaʊ.zʌnd
8th	'eɪtθ
18yearold	'eɪ.tin.'jeɪ.ʌ.ɹəʊld
georgias	'dʒɔː.dʒʌz
12yearold	'twɛl.'vjeɪ.ʌ.ɹəʊld
bankand	'bæŋ.kænd
1999	'naɪn.tin.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'naɪn
leadershipratifying	`li.dʌ.ʃɪ.'pɹæ.tɪ.`faɪ.ɪŋ
noncitizens	`nɑn.'sɪ.tɪ.zʌnz
lifeenhancing	'lɪ.fin.`hæn.sɪŋ
technologyall	tɛk.'nɑ.lʌ.dʒɪ.`ɔːl
heres	'heɪ.ʌz
natos	'neɪ.təʊz
70000	'sɛ.vʌn.tɪ.'θaʊ.zʌnd
newlyelected	'njʉː.lɪ.`ɛ.lɛk.tɪd
3000	'θɹi.'θaʊ.zʌnd
forcewith	'fɔːs.jʉː.`ɪθ
utahs	'jʉː.tɑz
airlineswill	'əː.laɪn.`swɪl
yearbut	'jeɪ.ʌ.bʌt
historyand	'hɪ.stɔː.ɹɪ.`ænd
uswe	'ʌ.swɪ
corporationssprint	`kɔː.pʌ.'ɹeɪ.ʃʌnz.'spɹɪnt
percent40	pʌ.'sɛnt.'fɔː.tɪ
percentof	pʌ.'sɛn.tɑf
8yearolds	'eɪt.'jeɪ.ʌ.ɹəʊldz
1500	'wɑn.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌd
4th	'fɔːθ
standardsnot	'stæn.dɑd.`snɑt
softmoney	'sɑft.mʌ.nɪ
fastestgrowing	'fæ.stɪst.`ɡɹəʊ.ɪŋ
programtwo	pɹəʊ.'ɡɹæm.twəʊ
5812	'faɪv.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'twɛlv
allthat	'ɔːl.ðæt
fullscale	'fʊəl.skeɪl
trumans	'tɹʉː.mʌnz
3rd	'θəːd
shapers	'ʃeɪ.pʌz
everto	'ɛ.vʌ.`təʊ
bestknown	bɪst.'nəʊn
collegejust	'kɑ.lɪ.`dʒɛ.dʒʌst
banwe	'bæn.wɪ
82487	'eɪ.tɪ.'tʉː.'θaʊ.zʌnd.'fɔː.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'sɛ.vʌn
clearness	'kleɪ.ʌ.nʌs
postoffices	'pəʊ.stʌ.fɪ.sɪz
758	'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'eɪt
tamasese	`tæ.meɪ.'siz
atua	'æt.jʉː.ʌ
10000000	'tɛn.'mɪ.leɪ.ʌn
90000	'naɪn.tɪ.'θaʊ.zʌnd
28	'twɛn.tɪ.'eɪt
1878	'wɑn.'θaʊ.zʌn.'deɪt.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'eɪt
421776408	'fɔː.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'wɑn.'mɪ.leɪ.ʌn.'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'sɪks.'θaʊ.zʌnd.'fɔː.'hʌn.dɹʌ.dʌ.'neɪt
1741563	'wɑn.'mɪ.leɪ.ʌn.'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'fɔː.tɪ.'wɑn.'θaʊ.zʌnd.'faɪv.'hʌn.dɹʌ.dʌn.'sɪk.stɪ.'θɹi
15952674	'fɪf.tin.'mɪ.leɪ.ʌn.'naɪn.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'tʉː.'θaʊ.zʌnd.'sɪks.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'fɔː
obviated	'ɑb.vɪ.`eɪ.tɪd
5001682	'faɪv.'mɪ.leɪ.ʌn.'wɑn.'θaʊ.zʌnd.'sɪks.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'tʉː
asiawhich	'eɪ.ʃʌ.`wɪtʃ
spoliation	'spəʊ.lɪ.'eɪ.ʃʌn
comradeship	'kɑm.ɹeɪd.`ʃɪp
worldwe	'wəːl.dwɪ
doneas	'dəʊ.neɪ.ʌz
justicejustice	'dʒʌ.staɪs.`dʒʌ.stɪs
annexations	`æ.nɪk.'seɪ.ʃʌnz
reachin	'ɹi.tʃɪn
irreproachable	ɪ.ɹɪ.'pɹəʊ.tʃʌ.bʌl
austriahungary	'ɑ.stɹɪ.ʌ.'hʌŋ.ɡʌ.ɹɪ
impudent	ɪm.'pjʉː.dʌnt
imperatively	ɪm.'pɛ.ɹʌ.`tɪv.lɪ
impatientbut	ɪm.'peɪ.ʃʌnt.`bʌt
thosepathways	'θəʊ.spæ.`θweɪz
dissentwho	dɪ.'sɛnt.hʉː
selfgoverned	'sɛlf.ɡʌ.vʌnd
schemers	'ski.mʌz
wilful	'wɪl.fʌl
comprehends	`kɑm.pɹɪ.'hɛndz
selfdefense	'sɛlf.dɛ.fʌns
covenanted	'kʌ.vʌ.nʌn.tɪd
austrohungarian	'ɑ.stɹəʊ.hʌŋ.'ɡəː.ɹeɪ.ʌn
ownfrom	'əʊn.fɹɑm
1178	'wɑn.'θaʊ.zʌn.'dwɑn.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'eɪt
iraqs	ɪ.'ɹækz
400	'fɔː.'hʌn.dɹʌd
25000	'twɛn.tɪ.'faɪv.'θaʊ.zʌnd
3000	'θɹi.'θaʊ.zʌnd
hydrogenpowered	'haɪ.dɹəʊ.dʒʌn.`paʊ.ʌd
bioterrorism	`baɪ.əʊ.'tɛ.ɹʌ.`ɹɪ.zʌm
bioshield	'baɪ.əʊ.'ʃild
highstrength	'haɪ.stɹɛŋθ
92	'naɪn.tɪ.'tʉː
familys	'fæ.mɪ.lɪz
5th	'fɪfθ
inoculating	ɪ.'nɑ.kjʊə.`leɪ.tɪŋ
29984	'twɛn.tɪ.'naɪn.'θaʊ.zʌnd.'naɪn.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'fɔː
450	'fɔː.'hʌn.dɹʌ.dʌn.'fɪf.tɪ
legaliraqs	'li.ɡʌ.lɪ.'ɹækz
50000are	'fɪf.tɪ.'θaʊ.zʌn.dɑ
partialbirth	'pɑ.ʃʌl.`bəːθ
u2	'jʉː.'tʉː
botulinum	'bɑt.jʊə.`lɪ.nʌm
onethird	'wɑn.θəːd
1999	'naɪn.tin.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'naɪn
hmos	`eɪ.`tʃɛ.'məʊz
30000	'θəː.tɪ.'θaʊ.zʌnd
40000	'fɔː.tɪ.'θaʊ.zʌnd
hitlerism	'hɪt.lʌ.`ɹɪ.zʌm
70percent	'sɛ.vʌn.`tɪ.pʌ.'sɛnt
incometax	'ɪn.kʌ.`mɛ.tæks
lifeextending	'lɪ.fik.`stɛn.dɪŋ
commandandcontrol	'kɑ.mæn.`dænd.kʌn.`tɹəʊl
1100	'wɑn.'θaʊ.zʌn.'dwɑn.'hʌn.dɹʌd
2004	'tʉː.'θaʊ.zʌn.dʌn.'fɔː
pollutionfree	pʌ.'lʉː.ʃʌn.`fɹi
38000	'θəː.tɪ.'eɪt.'θaʊ.zʌnd
conductwere	kʌn.'dʌk.twʌ
7	'sɛ.vʌn
knowwe	'nəʊ.wɪ
300000	'θɹi.'hʌn.dɹʌd.'θaʊ.zʌnd
12000	'twɛlv.'θaʊ.zʌnd
qaidas	'keɪ.dʌz
artificialities	`ɑ.tɪ.`fɪ.ʃɪ.'æ.lɪ.tɪz
72	'sɛ.vʌn.tɪ.'tʉː
41	'fɔː.tɪ.'wɑn
37	'θəː.tɪ.'sɛ.vʌn
88	'eɪ.tɪ.'eɪt
1930	'naɪn.tin.'hʌn.dɹʌ.dʌn.'θəː.tɪ
410420000	'fɔː.'hʌn.dɹʌ.dʌn.'tɛn.'mɪ.leɪ.ʌn.'fɔː.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'θaʊ.zʌnd
574870000	'faɪv.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'fɔː.'mɪ.leɪ.ʌ.'neɪt.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'θaʊ.zʌnd
196700000	'wɑn.'hʌn.dɹʌ.dʌn.'naɪn.tɪ.'sɪk.'smɪ.leɪ.ʌn.'sɛ.vʌn.'hʌn.dɹʌd.'θaʊ.zʌnd
1932	'naɪn.tin.'hʌn.dɹʌ.dʌn.'θəː.tɪ.'tʉː
655880000	'sɪks.'hʌn.dɹʌ.dʌn.'fɪf.tɪ.'faɪv.'mɪ.leɪ.ʌ.'neɪt.'hʌn.dɹʌ.dʌ.'neɪ.tɪ.'θaʊ.zʌnd
772700000	'sɛ.vʌn.'hʌn.dɹʌ.dʌn.'sɛ.vʌn.tɪ.'tʉː.'mɪ.leɪ.ʌn.'sɛ.vʌn.'hʌn.dɹʌd.'θaʊ.zʌnd
5day	'faɪv.'deɪ
1929	'naɪn.tin.'hʌn.dɹʌ.dʌn.'twɛn.tɪ.'naɪn
